Name,Ticker,Sub-Sector,Market Cap_x,PE Ratio_x,1M Return,1W Return,6M Return,1Y Return,5Y CAGR,PE Ratio_y,PB Ratio,PS Ratio,EV/EBITDA Ratio,EV / Revenue Ratio,Price / Sales,Price / Free Cash Flow,Market Cap_y,Enterprise Value,Dividend Yield,Dividend Per Share,Earnings Per Share,Payout Ratio,Free Cash Flow,Net Profit Margin,EBITDA Margin,Return on Assets,Return on Equity,Return on Investment,ROCE,Cash Flow Margin,Operating Cash Flow,Inventory Turnover Ratio,Asset Turnover Ratio,Working Capital Turnover Ratio,Days of Sales Outstanding,Debt to Equity,Long Term Debt to Equity,Interest Coverage Ratio,3Y Historical Dividend Growth,5Y Historical Revenue Growth,5Y Historical EBITDA Growth,5Y Historical EPS Growth,1Y Historical Revenue Growth,1Y Historical EBITDA Growth,1Y Historical EPS Growth,5Y Avg Return on Equity,5Y Avg Return on Assets,5Y Avg Return on Investment,5Y Avg Net Profit Margin,5Y Avg EBITDA Margin,Free Cash Flow.1,Operating Cash Flow.1,Investing Cash Flow,Financing Cash Flow,Change in Working Capital,Total Assets,Total Liabilities,Total Equity,Share Capital,Reserves & Surplus,"Net Property,Plant & Equipment",Cash and Equivalent,Long Term Debt,Accounts Payable,Total Receivables,Total Inventory,Goodwill & Intangibles,Other Assets,Other Liabilities,5Y CAGR Missing,5Y EPS Growth Missing,Market Cap,Score,Buffett Score,Earnings Yield,ROIC,Greenblatt Rank,Greenblatt Score,Piotroski Score,PEG Ratio,Peter Lynch Score,Composite Score,Final Rank,Name_lower
tips music,TIPSMUSIC,Movies & TV Serials,8603.83087779262,51.65604513564253,5.140405616224656,-3.0984902947519704,-19.08498309995172,50.27463288868959,124.42005306269186,51.65604513564253,47.93220544731264,26.09752146867453,37.16045231209066,25.437912150547863,26.09752146867453,37.38195549962035,8603.83087779262,8386.37087779262,1.0448672722291374,7.0,13.02,0.5376344086021505,230.16,50.52171803,68.45425868,47.84694396,80.56893056,69.11278521,87.47798176,91.01031411,232.95,0.0,1.240401076057716,2.1723058676242872,25.80176231497209,0.0279108635097493,0.0203342618384401,744.9333333333334,244.34345486153543,24.817872545702624,70.15993805614858,80.52416004728966,28.80137521487733,30.564072895574203,31.48422896921196,54.19298721,36.97215707,48.82757943,46.41643213,63.83571192,230.16,232.95,-111.02,-84.82,68.85,338.88,159.38,179.5,12.84,166.66,7.98,222.47,3.65,14.68,26.34,0.0,0.0,54.72,72.32,0.0,0.0,8603.83087779262,191.0,80,0.026910329067082864,87.47798176,197.0,71.61016949152543,4,0.641497472377313,100,78.81638418079096,26.0,tips music
central depository services (india),CDSL,Stock Exchanges & Ratings,34641.9137984641,65.78036533897442,23.72893991352318,-7.38798058144076,-14.063178324267737,62.31129117831475,65.01964073764476,65.78036533897442,22.984589629947383,28.822146065016053,45.80650528033562,28.353903586315308,28.822146065016053,110.8612192731186,34641.9137984641,34079.1237984641,0.7541442471102244,12.5,25.2,0.496031746031746,312.48,43.81572817,61.89929446,25.8850268,30.32355154,27.79044639,45.08975781,42.53672945,385.94,0.0,0.742310827836656,2.333643988816403,15.867320620340788,0.0009023474303002,0.0005506973287862,6950.0,18.56311014966876,33.42338726626306,38.08003561064319,37.75551728004529,32.4707101211273,27.533598464070213,25.663294521855303,24.36205762,21.00725062,22.54716439,47.16318126,64.91248416,312.48,385.94,-249.24,-168.58,-116.39,1781.42,274.24000000000024,1507.1799999999998,104.5,1358.84,345.35,607.99,0.8300000000000001,31.96,66.83,0.0,0.0,43.32,14.950000000000218,0.0,0.0,34641.9137984641,202.0,75,0.02183096033805688,45.08975781,252.0,38.98305084745763,4,1.7422715957262476,50,57.52824858757062,122.0,central depository services (india)
eicher motors,EICHERMOT,Trucks & Buses,145682.092340428,30.770712553211776,-3.606379122870605,-1.7093227386122147,10.881471530432986,7.757136200644226,26.276883047917355,30.770712553211776,8.073029295367215,6.978762807887882,21.70313311821329,6.983180040700625,6.978762807887882,50.14528856547846,145682.092340428,145774.302340428,1.3156314404938818,70.0,172.76,0.4051863857374392,2905.2,22.67988691,32.17590752,18.91159572,24.22226063,21.94365872,30.67836194,20.61926856,3723.71,0.0,0.9867025959302594,41.68467506015557,6.493047205612823,0.0232434292592126,0.0150419522175297,110.1842105263158,49.38015821857216,16.497340949169526,19.50817484203766,20.861805131938425,15.591296927855192,14.806255875566256,18.156836238849746,18.23978177,14.32673455,16.8550557,18.79468147,28.45985023,2905.2,3723.71,-2833.93,-844.36,-679.8799999999999,23115.13,5069.599999999993,18045.53,27.38,17698.550000000003,3469.48,327.23,271.44,2166.72,373.78,1409.64,0.0,2148.28,751.4699999999928,0.0,0.0,145682.092340428,203.0,80,0.04607629665971127,30.67836194,192.0,73.72881355932203,4,1.4749784286932721,50,69.45197740112994,65.0,eicher motors
indian railway catering and tourism corporation,IRCTC,Online Services,61570.568887122594,46.824574032734006,-1.965398804223387,-1.5584083796385062,-8.593471810089019,-25.40681906237893,22.235688426170075,46.824574032734006,19.063335042563946,12.434102870121189,32.49082746438938,11.986321782626868,12.434102870121189,94.77206718352794,61570.568887122594,59353.26888712259,1.5591865031488814,12.0,16.44,0.7299270072992701,649.67,26.5546524,36.89140203,19.87631418,38.92932786,34.33653279,51.2845787,19.86019496,882.17,0.0,0.8858276520267552,2.2140869001442005,92.77490281213711,0.0186854253682127,0.0129420179020927,105.0438129070456,0.0,18.814237574616037,25.053379495740693,-7.352533742617707,11.47819626736306,16.213396441271993,18.371314396803008,-0.85083997,-0.661986916,-0.623019406,-2.3540127105,3.1254198915,649.67,882.17,-200.35,-404.33,-557.47,6091.18,2861.3900000000003,3229.79,160.0,3069.79,784.0156999999999,2277.65,41.8,997.65,1374.34,10.97,1.2743,20.43,187.91,0.0,0.0,61570.568887122594,210.0,70,0.030777917278223235,51.2845787,201.0,69.0677966101695,5,-6.368494953151096,100,78.38700564971752,30.0,indian railway catering and tourism corporation
indian energy exchange,IEX,Power Trading & Consultancy,16524.560931426,38.50263509815463,-4.940340187864935,-9.533703793186756,0.2055769332138455,2.2757841502125085,25.218653950861004,38.74025845831516,17.102506891942458,24.741881138600743,26.491416062167023,23.196151971934075,24.741881138600743,58.717841944977046,16626.5441251397,15587.8141251397,1.6044718944127456,3.0,4.83,0.6211180124223602,283.16,63.86607143,87.5610119,21.7410706,39.60886821,35.99075855,55.48316409,53.1313419,298.46,0.0,0.4164884814904338,2.264532434709352,25.338169642857142,0.0106565724101751,0.0063260540851908,216.4732824427481,6.265856918261115,17.707913592628977,19.40396175912653,19.870497697394374,19.62829778901272,20.21861272857287,22.4370267895322,43.89395771,22.97123514,39.66495426,61.9619122,85.77832888,283.16,298.46,-24.5,-183.09,-79.6,1773.59,801.4199999999998,972.17,89.09,868.74,42.33049999999999,1049.09,6.15,562.7,86.27,0.0,62.6495,16.22,13.239999999999782,0.0,0.0,16626.5441251397,211.0,80,0.03774807649592285,55.48316409,161.0,85.16949152542372,3,1.9376784459305965,50,69.55084745762711,63.0,indian energy exchange
infosys,INFY,IT Services & Consulting,659023.377511147,24.67051164268884,0.1938832947651453,1.6046172385361803,-17.991969899750007,8.383393405419831,18.28730194312369,24.822413250066145,6.89252024520043,3.980317697034738,14.818286608203776,3.810289484056768,3.980317697034738,19.8189056146402,663081.125149017,634756.125149017,2.687078804482,43.0,64.49643854574092,0.6667034795960768,33457.0,16.03517618,25.71342818,18.73577528,28.93146471,25.97816719,36.23231216,21.42625608,35694.0,0.0,1.16841717662324,3.1765614423141093,67.21026172039137,0.0855170836668295,0.0599981289564774,91.40384615384616,11.524149667113528,12.222563210004388,11.309162524146377,10.757986516927652,5.183071201722433,4.132633216647219,1.7410058549891116,29.76074913,19.57421777,26.76517971,17.0811949,26.71283058,33457.0,35694.0,-1864.0,-24161.0,-5897.0,147795.0,51592.0,96203.0,2073.0,92654.0,21441.0,36937.0,5772.0,4684.0,31158.0,0.0,10334.0,7862.0,2356.0,0.0,0.0,663081.125149017,216.0,95,0.06748418534747296,36.23231216,130.0,91.52542372881356,3,2.2932276038708435,0,65.95762711864407,80.0,infosys
natco pharma,NATCOPHARM,Pharmaceuticals,16225.627646215302,8.605933831661876,10.603490063015029,5.992335384972711,-36.54360056258791,-25.187580317539283,7.120587434692349,8.659046324071443,2.789251155696008,3.4125764923503974,5.999045653559812,3.1982788334875214,3.4125764923503974,19.141477241651195,16325.7659394043,15300.5659394043,0.6582596026359621,6.0,105.26,0.0570017100513015,852.8999999999999,39.41053512,53.31312709,22.10052931,25.8844587,22.61298459,39.02212934,29.35859846,1211.6,0.0,0.7615712182114857,1.7824475120624454,78.01264632107024,0.0634193845996138,0.0009055030667509,96.87447698744772,10.064241629820891,18.79135136536716,29.883878106863992,33.03275568052828,15.922363032784892,35.70098430433621,37.07379248397314,13.8824598,11.71776928,12.64174815,25.45230309,37.30288539,852.8999999999999,1211.6,-1026.2,-246.9,-595.7,6906.1,1053.000000000001,5853.099999999999,35.8,4615.4,2572.1,1396.4,5.300000000000011,268.3,1188.9,700.5,56.0,139.4,74.90000000000092,0.0,0.0,16325.7659394043,220.0,90,0.16669318050723678,39.02212934,65.0,98.72881355932203,4,0.26052727525650515,100,89.95197740112994,5.0,natco pharma
hindustan zinc,HINDZINC,Mining - Diversified,217000.032808762,20.96011135021366,17.00796359499431,0.58679706601467,2.950326141495242,-20.565234223770805,23.8406251400757,20.96011135021366,14.281015650461468,6.188331512255804,11.793144838624343,6.150488587485371,6.188331512255804,22.767813745542128,217000.032808762,215673.032808762,5.6529945370149655,29.0,24.5,1.183673469387755,9531.0,29.52432556,52.15308276,22.37248061,55.17118783,36.43433541,63.53778086,44.47777111,13346.0,0.0,1.0111011793200888,-81.07745664739885,2.784392288826784,0.5740046067785456,0.2911484040802896,13.37716894977169,17.230827599961064,11.58037124749005,18.045215433865444,42.84951113614276,16.863294007865104,24.15478615071283,33.49356585900242,2.251876777,0.6494543355,3.12265636,29.81213567,53.22257404,9531.0,13346.0,-3406.0,-9946.0,-350.0,33895.0,18700.0,15195.0,845.0,14350.0,19847.0,10049.0,4424.0,3270.0,155.0,1926.0,0.0,845.0,1124.0,0.0,0.0,217000.032808762,222.0,80,0.08479502403166014,63.53778086,66.0,98.30508474576271,5,0.4891563706203919,100,90.15819209039549,3.0,hindustan zinc
castrol india,CASTROLIND,Commodity Chemicals,20913.0511108643,22.55432968180959,1.563924202446639,-3.058748111177242,2.0197658798695106,4.903556805288342,12.65424338250578,22.55432968180959,9.178952984310843,3.8348225000026224,14.33763141360905,3.593333610380254,3.8348225000026224,21.981344451192246,20913.0511108643,19596.1011108643,6.148596359198865,13.0,9.374269706143862,1.3867746936574534,951.4,17.00260018,25.06225406,26.28493513,42.14624346,39.68030707,53.57115676,19.14564332,1044.1,5.201479477453104,1.54593620043032,4.542751827401654,28.796961011908035,0.0359994206384388,0.0272036587560405,135.07356076759058,33.20695095112127,6.7087756424164535,2.334107241700045,2.305160488372016,5.733108946519439,6.68977253212188,7.302142038813656,44.58128486,27.22506775,41.8361204,17.50548895,25.83111602,951.4,1044.1,-265.31,-819.13,-277.22,3635.29,1356.92,2278.37,494.56,1783.81,378.9,1398.97,61.98,741.25,437.69,524.21,0.0,121.06,24.71,0.0,0.0,20913.0511108643,229.0,85,0.06974652724374097,53.57115676,97.0,94.91525423728814,3,9.784277405231007,0,63.974576271186436,89.0,castrol india
sanofi india,SANOFI,Pharmaceuticals,14139.3746248206,34.21092336032081,-2.5752773375594296,-0.040650406504065,-1.035440829644951,-14.679831768932962,4.471202146035069,34.21092336032081,16.429670723705087,6.640386335800779,24.356772004252623,6.511001091823885,6.640386335800779,33.261290578265346,14139.3746248206,13863.8746248206,1.905729811606989,117.0,179.45672505067395,0.6519677653036531,425.1,19.41013479,26.73178979,24.84819335,44.06653161,47.14172065,59.65718127,21.67378951,461.5,1.5996906153317294,1.2801659351890822,4.240366424375187,31.00091579392288,0.0224262142691145,0.0162677201952126,355.00000000000017,0.0,10.196659556134891,14.469296573804913,13.951257390496474,-7.957983919771761,-29.291925465838474,-31.44800132691984,11.04026571,5.211017428,9.827405987,5.9219274535,13.759443425,425.1,461.5,-179.8,-392.4,-126.0,1611.8,751.1999999999999,860.6,23.0,835.6,329.7,294.8,14.0,414.8,230.0,499.8,0.9,154.3,18.0,0.0,0.0,14139.3746248206,232.0,80,0.04105634358384612,59.65718127,146.0,88.98305084745763,4,2.452174911748465,0,64.02824858757063,87.0,sanofi india
